,time,nn_generator_one,activation,batchnorm,K,K0,lw,lw1,lr,lr_decay,sample_weight_rate,bst_epoch,trn_loss,trn_acc,val_loss,val_acc,val_auc
0,2020-03-20 12:54:10,nn_generator_one,leakyrelu,True,88,12,0.001903659,0.0,0.01,0.6852189999999999,0.0,9,0.52669,0.73033,0.58185,0.68686,0.7407100000000001
1,2020-03-20 17:29:10,nn_generator_one,leakyrelu,True,127,9,0.0013205629999999999,0.0,0.01,0.926529,0.0,29,0.51017,0.74456,0.58445,0.68943,0.74262
2,2020-03-20 18:56:03,nn_generator_one,leakyrelu,False,107,9,0.02193282,0.0,0.01,0.718676,0.0,18,0.52163,0.7340399999999999,0.5836100000000001,0.6853899999999999,0.73869
3,2020-03-20 21:05:14,nn_generator_one,tanh,False,125,4,0.001513191,0.0,0.01,0.807439,0.0,33,0.52741,0.73042,0.58118,0.68209,0.7349899999999999
4,2020-03-20 21:39:47,nn_generator_one,relu,False,84,10,0.00011177959999999999,0.0,0.01,0.722693,0.0,10,8.51458,0.47173999999999994,6.51612,0.59573,0.5
5,2020-03-20 22:21:39,nn_generator_one,prelu,False,78,9,0.002762004,0.0,0.01,0.678189,0.0,12,8.51732,0.47157,6.51505,0.5958,0.5
6,2020-03-20 23:04:48,nn_generator_one,elu,True,70,10,0.0005441417,0.0,0.01,0.675474,0.0,12,0.53413,0.72534,0.58381,0.6826399999999999,0.73578
0,2020-03-19 14:29:17,nn_generator_one,tanh,True,84,10,0.0003218815,0.0,0.01,0.8509549999999999,0.0,14,0.5323100000000001,0.72828,0.58234,0.68355,0.73638
1,2020-03-19 15:51:54,nn_generator_one,prelu,True,75,8,0.00538216,0.0,0.01,0.80281,0.0,11,0.50198,0.75197,0.59482,0.6843100000000001,0.73523
2,2020-03-19 16:45:41,nn_generator_one,prelu,False,85,4,5.780116e-05,0.0,0.01,0.8798879999999999,0.0,7,7.5187,0.52842,9.48865,0.40485,0.5
3,2020-03-19 18:19:31,nn_generator_one,relu,True,108,7,0.003889403,0.0,0.01,0.718082,0.0,10,0.51079,0.74244,0.58117,0.68786,0.7407
4,2020-03-19 18:49:35,nn_generator_one,leakyrelu,False,57,4,2.371993e-05,0.0,0.01,0.781229,0.0,6,0.51021,0.74873,0.58706,0.68898,0.74124
5,2020-03-19 19:46:26,nn_generator_one,elu,False,77,13,7.231631e-05,0.0,0.01,0.7117220000000001,0.0,11,0.50405,0.75232,0.5816100000000001,0.69402,0.74837
6,2020-03-19 21:37:19,nn_generator_one,tanh,True,70,7,0.0027617320000000002,0.0,0.01,0.908659,0.0,31,0.5228,0.73441,0.5816399999999999,0.68588,0.73839
7,2020-03-19 22:19:57,nn_generator_one,elu,False,112,13,3.5831859999999995e-05,0.0,0.01,0.761157,0.0,9,0.54099,0.72111,0.5816100000000001,0.68269,0.73601
8,2020-03-19 23:04:50,nn_generator_one,tanh,False,109,6,4.88671e-05,0.0,0.01,0.711428,0.0,11,0.5372600000000001,0.7246100000000001,0.58409,0.68194,0.73426
9,2020-03-19 23:34:00,nn_generator_one,elu,True,48,6,0.001214937,0.0,0.01,0.802211,0.0,16,0.53028,0.72813,0.58208,0.68515,0.73782
10,2020-03-20 00:06:45,nn_generator_one,leakyrelu,False,69,10,3.3337379999999996e-05,0.0,0.01,0.678756,0.0,5,0.5162399999999999,0.74503,0.5886,0.68709,0.73866
11,2020-03-20 00:58:20,nn_generator_one,prelu,True,58,11,0.0004097848,0.0,0.01,0.7726810000000001,0.0,8,0.51037,0.74452,0.58223,0.68826,0.7416
12,2020-03-20 02:04:13,nn_generator_one,tanh,True,54,9,0.001143838,0.0,0.01,0.6879810000000001,0.0,16,0.5324800000000001,0.72717,0.5815899999999999,0.6832600000000001,0.7360800000000001
13,2020-03-20 03:18:49,nn_generator_one,prelu,False,79,9,0.0003868308,0.0,0.01,0.722246,0.0,12,8.514569999999999,0.47173999999999994,6.51539,0.59577,0.5
14,2020-03-20 05:29:32,nn_generator_one,leakyrelu,False,122,10,0.0066753030000000005,0.0,0.01,0.753737,0.0,15,0.52273,0.73359,0.58345,0.68575,0.7389600000000001
15,2020-03-20 07:31:43,nn_generator_one,elu,False,107,6,0.00818201,0.0,0.01,0.948895,0.0,39,0.53274,0.73632,0.5944699999999999,0.68581,0.73853
16,2020-03-20 08:26:34,nn_generator_one,elu,True,105,6,6.652492e-05,0.0,0.01,0.832385,0.0,9,0.54243,0.72128,0.58699,0.6802199999999999,0.7326
